species_scientific,age_years,dbh_cm,height_m,source_for_growth
Tectona grandis,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,3,11.46,7.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,4,14.27,9.53,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,5,16.69,11.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,6,18.77,12.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,7,20.56,14.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,8,22.1,15.43,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,9,23.42,16.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,10,24.57,17.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,11,25.55,18.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,12,26.4,19.08,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,13,27.12,19.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,14,27.75,20.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,15,28.29,20.87,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,16,28.75,21.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,17,29.15,21.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,18,29.5,22.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,19,29.79,22.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,20,30.05,22.73,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,21,30.27,22.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,22,30.46,23.22,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,23,30.62,23.42,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,24,30.76,23.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,25,30.88,23.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,26,30.98,23.9,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,27,31.07,24.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,28,31.15,24.13,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,29,31.21,24.23,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Melia dubia,30,31.27,24.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,1,4.83,3.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,2,8.98,6.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,3,12.55,9.07,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,4,15.63,11.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,5,18.28,13.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,6,20.56,15.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,7,22.52,17.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,8,24.21,18.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,9,25.66,19.81,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,10,26.91,20.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,11,27.99,21.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,12,28.91,22.89,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,13,29.71,23.7,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,14,30.4,24.41,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,15,30.99,25.04,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,16,31.5,25.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,17,31.94,26.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,18,32.31,26.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,19,32.64,26.93,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,20,32.92,27.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,21,33.16,27.59,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,22,33.36,27.86,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,23,33.54,28.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,24,33.69,28.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,25,33.83,28.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,26,33.94,28.68,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,27,34.04,28.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,28,34.12,28.96,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,29,34.19,29.08,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Gmelina arborea,30,34.26,29.18,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,1,3.74,2.04,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,2,6.95,3.84,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,3,9.72,5.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,4,12.11,6.86,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,5,14.16,8.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,6,15.92,9.24,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,7,17.44,10.23,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,8,18.75,11.11,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,9,19.88,11.89,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,10,20.85,12.58,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,11,21.68,13.19,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,12,22.4,13.74,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,13,23.02,14.22,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,14,23.55,14.65,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,15,24.0,15.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,16,24.4,15.36,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,17,24.74,15.66,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,18,25.03,15.92,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,19,25.28,16.16,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,20,25.5,16.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,21,25.68,16.55,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,22,25.84,16.72,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,23,25.98,16.86,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,24,26.1,16.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,25,26.2,17.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,26,26.29,17.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,27,26.37,17.3,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,28,26.43,17.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,29,26.49,17.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Dendrocalamus strictus,30,26.53,17.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,1,3.94,2.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,2,7.33,4.27,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,3,10.25,6.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,4,12.76,7.62,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,5,14.92,9.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,6,16.78,10.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,7,18.39,11.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,8,19.77,12.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,9,20.95,13.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,10,21.97,13.98,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,11,22.85,14.66,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,12,23.61,15.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,13,24.26,15.8,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,14,24.82,16.27,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,15,25.3,16.69,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,16,25.72,17.07,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,17,26.08,17.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,18,26.38,17.69,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,19,26.65,17.95,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,20,26.88,18.19,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,21,27.07,18.39,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,22,27.24,18.57,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,23,27.39,18.73,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,24,27.51,18.88,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,25,27.62,19.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,26,27.71,19.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,27,27.79,19.22,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,28,27.86,19.31,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,29,27.92,19.38,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Bambusa bambos,30,27.97,19.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,1,5.91,5.09,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,2,11.0,9.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,3,15.37,13.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,4,19.14,17.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,5,22.39,20.3,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,6,25.18,23.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,7,27.58,25.57,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,8,29.65,27.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,9,31.43,29.72,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,10,32.96,31.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,11,34.28,32.98,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,12,35.41,34.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,13,36.39,35.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,14,37.23,36.61,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,15,37.95,37.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,16,38.58,38.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,17,39.11,39.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,18,39.58,39.81,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,19,39.97,40.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,20,40.31,40.92,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,21,40.61,41.38,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,22,40.86,41.79,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,23,41.08,42.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,24,41.27,42.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,25,41.43,42.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,26,41.57,43.01,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,27,41.69,43.24,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,28,41.79,43.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,29,41.88,43.61,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Cedrus deodara,30,41.96,43.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,1,5.91,5.09,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,2,11.0,9.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,3,15.37,13.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,4,19.14,17.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,5,22.39,20.3,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,6,25.18,23.1,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,7,27.58,25.57,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,8,29.65,27.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,9,31.43,29.72,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,10,32.96,31.45,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,11,34.28,32.98,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,12,35.41,34.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,13,36.39,35.54,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,14,37.23,36.61,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,15,37.95,37.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,16,38.58,38.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,17,39.11,39.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,18,39.58,39.81,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,19,39.97,40.4,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,20,40.31,40.92,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,21,40.61,41.38,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,22,40.86,41.79,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,23,41.08,42.15,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,24,41.27,42.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,25,41.43,42.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,26,41.57,43.01,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,27,41.69,43.24,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,28,41.79,43.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,29,41.88,43.61,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Pinus roxburghii,30,41.96,43.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,1,4.66,3.17,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,2,8.67,5.97,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,3,12.13,8.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,4,15.1,10.67,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,5,17.66,12.63,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,6,19.86,14.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,7,21.76,15.91,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,8,23.39,17.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,9,24.79,18.49,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,10,26.0,19.57,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,11,27.04,20.52,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,12,27.93,21.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,13,28.7,22.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,14,29.37,22.78,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,15,29.94,23.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,16,30.43,23.9,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,17,30.85,24.36,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,18,31.22,24.77,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,19,31.53,25.14,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,20,31.8,25.46,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,21,32.03,25.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,22,32.23,26.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,23,32.4,26.23,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,24,32.55,26.43,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,25,32.68,26.61,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,26,32.79,26.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,27,32.88,26.9,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,28,32.96,27.03,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,29,33.03,27.14,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Grevillea pteridifolia,30,33.09,27.23,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,1,4.4,2.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,2,8.2,5.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,3,11.46,7.56,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,4,14.27,9.53,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,5,16.69,11.28,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,6,18.77,12.83,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,7,20.56,14.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,8,22.1,15.43,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,9,23.42,16.51,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,10,24.57,17.47,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,11,25.55,18.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,12,26.4,19.08,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,13,27.12,19.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,14,27.75,20.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,15,28.29,20.87,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,16,28.75,21.33,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,17,29.15,21.75,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,18,29.5,22.12,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,19,29.79,22.44,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,20,30.05,22.73,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,21,30.27,22.99,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,22,30.46,23.22,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,23,30.62,23.42,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,24,30.76,23.6,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,25,30.88,23.76,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,26,30.98,23.9,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,27,31.07,24.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,28,31.15,24.13,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,29,31.21,24.23,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Artocarpus heterophyllus,30,31.27,24.32,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,0,0.0,0.0,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,1,3.94,2.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,2,7.33,4.27,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,3,10.25,6.05,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,4,12.76,7.62,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,5,14.92,9.02,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,6,16.78,10.26,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,7,18.39,11.37,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,8,19.77,12.34,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,9,20.95,13.21,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
Phyllanthus emblica,10,21.97,13.98,Indicative growth curve; species maxima compiled from silviculture manuals/FSI; shape generic
